sección censal,renta media
2807911023,9366.0
2807911024,9670.0
2807911025,11177.0
2807911026,11323.0
2807911028,14027.0
2807911029,10244.0
2807911030,10538.0
2807911031,14009.0
2807911032,9744.0
2807911033,8797.0
2807911034,9975.0
2807911035,10105.0
2807911036,9407.0
2807911037,10265.0
2807911038,10269.0
2807911039,12343.0
2807911040,8407.0
2807911041,8562.0
2807911042,9831.0
2807911043,12331.0
2807911044,15692.0
2807911045,14709.0
2807911046,12630.0
2807911047,10604.0
2807911048,8514.0
2807911049,14332.0
2807911050,13837.0
2807911051,14031.0
2807911054,7654.0
2807911055,9253.0
2807911056,8649.0
2807911057,9567.0
2807911058,9975.0
2807911059,9423.0
2807911060,11779.0
2807911061,9798.0
2807911062,9458.0
2807911063,10332.0
2807911065,14190.0
2807911066,8122.0
2807911067,13714.0
2807911068,9185.0
2807911069,9145.0
2807911070,9224.0
2807911071,8844.0
2807911072,8575.0
2807911073,8224.0
2807911074,8159.0
2807911075,12769.0
2807911078,8939.0
2807911079,8946.0
2807911080,8401.0
2807911081,9253.0
2807911082,8771.0
2807911083,8999.0
2807911084,9440.0
2807911085,9891.0
2807911086,9933.0
2807911087,9049.0
2807911088,9321.0
2807911089,9755.0
2807911091,9158.0
2807911092,10184.0
2807911093,14279.0
2807911094,18535.0
2807911095,15440.0
2807911096,14712.0
2807911097,13769.0
2807911098,12652.0
2807911099,13773.0
2807911100,11013.0
2807911101,10836.0
2807911102,9700.0
2807911103,10215.0
2807911104,11577.0
2807911105,9630.0
2807911106,11121.0
2807911107,11645.0
2807911108,9672.0
2807911109,9031.0
2807911110,8905.0
2807911111,8995.0
2807911112,11263.0
2807911113,9512.0
2807911114,10913.0
2807911115,9739.0
2807911116,9224.0
2807911117,7806.0
2807911118,9231.0
2807911119,7751.0
2807911120,8719.0
2807911121,7844.0
2807911122,8189.0
2807911123,11689.0
2807911124,10937.0
2807911125,11633.0
2807911126,11221.0
2807911128,6912.0
2807911129,6215.0
2807911130,7614.0
2807911131,7373.0
2807911132,7483.0
2807911133,11604.0
2807911134,9336.0
2807911135,10391.0
2807911136,10431.0
2807911137,12821.0
2807911138,9740.0
2807911139,9713.0
2807911140,7958.0
2807911141,11297.0
2807911142,11230.0
2807911143,9301.0
2807911145,9806.0
2807911146,9615.0
2807911147,12185.0
2807911148,11722.0
2807911149,10600.0
2807911150,10905.0
2807911151,9421.0
2807911152,11129.0
2807911153,9637.0
2807911154,8627.0
2807911155,11389.0
2807911156,14255.0
2807911157,8254.0
2807911158,6312.0
